metric,value
10Y_Real_Yield,-0.2300000000000002
10Y_minus_3Mo,0.24
2s10s_Curve,0.35
5Y_Breakeven,-0.28000000000000025
Chicago_Fed_NFCI,-0.028000000000000025
Core_CPI_YoY,2.512028782828879
Core_PCE_YoY,3.104657789335974
Fed_Funds_Rate,-0.69
Federal_Funds_Effective_Rate,-0.69
Five_Year_Breakeven_Inflation,-0.28000000000000025
HY_Credit_Spread,0.1299999999999999
HY_Credit_Spreads,0.1299999999999999
IG_Credit_Spread,-0.029999999999999916
IG_Credit_Spreads,-0.029999999999999916
ISM_Mfg_PMI,-20.299999999999997
Ind_Prod_YoY,1.0581153993366232
Industrial_Production_YoY,1.0581153993366232
Initial_Claims_4Wk,1.9767441860465196
Initial_Jobless_Claims_4Wk_Avg,1.9767441860465196
Mfg_PMI_Proxy,-20.299999999999997
Mortgage_30Y,-0.7999999999999998
Mortgage_Rates,-0.7999999999999998
NFP_3Mo_Avg,61.333333333333336
Nonfarm_Payrolls_3M_Avg,61.333333333333336
Prime_Age_LFPR,0.5
Real_GDP_Growth,2.7
Real_GDP_Growth_Q,2.7
Retail_Sales_YoY,3.267862666254251
SLOOS_C_and_I_Lending_Standards,-0.9000000000000004
SLOOS_Lending_Stds,-0.9000000000000004
Sticky_CPI,2.979750936
TenY_Real_Yield,-0.2300000000000002
TenY_minus_ThreeM_Treasury,0.24
Trimmed_Mean_PCE,2.41
Two_s_Ten_s_Curve,0.35
Unemployment_Rate,0.2999999999999998
